"","cortical.interneuron","MGE.neuron","MGE.progenitor","telencephalic.progenitors"
"DLGAP3",0.157768725224261,0.066625728056981,0.188603374091062,0
"SFPQ",2.06073399647227,1.8636447684123,2.18296213854443,2.57749905756542
"RHOU",0.00604151217442638,0.0571188193101149,0,0.0245964399405888
"GON4L",1.48796114269293,1.12757081939624,1.76942283186046,0.60585530847311
"ARHGEF2",0.700905828824583,0.864358044014527,0.477405255491083,0.467689079897744
"LAMTOR2",1.20968571361506,1.61907035914751,1.31975682486187,1.49025447879519
"MEF2D",0.375918213488921,0.493755941207592,0,0.068477988243103
"DOCK7",0.907057749634644,1.51695437313846,1.49179685657675,2.00560483549322
"SRM",0.130525946054818,0.374139198316978,0.462773734872991,0.268513130290168
"DLEU2L",0,0.0488533606896034,0,0
"FBXO2",0,0.0687458257262523,0,0.0549430421420506
"FBXO6",0.250830304088458,0.0827585682272911,0.278086831623858,0.120140534426485
"C1orf21",0.448516111891225,0.891653274114315,1.4063836471601,1.23904873856476
"SWT1",0.218174541052782,0.380693734265291,0.45511063256047,0.222549874867712
"MAD2L2",1.85874591064903,1.97054873521511,1.69329781965776,1.98089164921216
"DNAJC6",0.890806616477247,0.714592724465407,0.251660214229064,0.0130291623728616
"LEPR",0.33835769261954,0.223121943382116,0.0409429425543005,0.0204809116465705
"IVNS1ABP",2.15934890958498,2.20855867174956,1.61626904931935,1.8906717300415
"KIAA2013",0.0913904458284378,0.0591926849805392,0.745891367847269,0.490470443453108
"MFN2",0.987318267799773,1.19229918489089,1.04577315937389,0.692813447543553
"PRG4",0.0262071824861023,0.135428103116842,0.028570215810429,0
"MIIP",0.905515882204164,1.17894008870308,1.10676899823275,1.27574751206807
"SMG7",0.996931557385427,1.65324625487511,1.36027855358341,0.565220618886607
"PDC",0.013441321141315,0.0199509721535903,0,0
"SLC35D1",0.355473840011741,0.535191549704625,0.366742058233781,0.591474816203117
"GADD45A",0.120718246360995,0.158797254929176,0.368149704553864,0.156910964420864
"WLS",0.673200920505344,1.06367358794579,2.1667894450101,0.201701462268829
"PRDM2",1.44814709897311,0.833681355875272,0.462347241965207,0.78108123583453
"RGS2",1.00917258043334,1.36584001894181,0.707053834741766,1.2320205611842
"RPE65",0,0,0.438838416879827,0.176358150584357
"TROVE2",3.52693111491653,3.45626108462994,3.51255708120086,4.13020942892347
"UCHL5",1.05634595650547,1.06517489827596,0.966495232148604,1.29794410616159
"BCAS2",2.09100200657575,1.30076154378744,2.09319801764055,1.6610604843923
"SRSF11",2.76011297387897,2.87919478233044,3.02267844026739,2.82913275914533
"CTH",0.171519712457117,0.182079510046886,0.161833893169056,0.0358244521277291
"AGMAT",0.040520966615317,0.0297608736615915,0.0327249535105445,0.0123929945485932
"TNNI3K",0,0.00209866636074506,0,0
"PLEKHM2",0.343526198616568,0.102985152831444,0.289906826886264,0.138760830674853
"CRYZ",0.115042353576084,0,0.466114405881275,0.723520566310201
"PHTF1",0.535719698611295,1.41687273749938,1.41202369332314,1.44096386432648
"ZBTB17",0.794993482670694,0.826483357411165,0.269690383564342,0.819307450737272
"CD58",0.00740313164468082,0,0.125213926488703,0.612529196909496
"TFAP2E",0.00295576537555119,0.0677789587240953,0,0
"TTF2",0.0903758257627487,0.241770756359284,0.435072367841547,0.923668185515063
"NR5A2",0.100468579890593,0.0754809138866571,0.0166548625989394,0.02570926291602
"KIF21B",1.1533828613893,1.29001419246197,0.240983291105791,0.364952789885657
"TMEM9",1.41814387013327,1.55938813147637,1.37208699096333,2.18043498482023
"ADPRHL2",1.08479727860892,0.869555934117391,1.89767569845373,0.796299963125161
"MAP7D1",0.152589789539013,0.158734395526923,0.387990405613726,0.0480281370026725
"WARS2",0.039482482199399,0.656344734705411,1.15817221457308,0
"AL591845.1",0.0557355385906291,0,0.0146980515935204,0
"OSCP1",0.219083248725477,0.13906629039691,0.0582431608980352,0.14547471595662
"MRPS15",0.804480218100098,0.966354811993929,1.73600420084867,1.57686586252281
"EXOC8",0.587573428761284,0.0609073868164649,0.206732988357544,0.201452272278922
"GNPAT",1.16642048814387,1.71795392151062,1.02247827703303,1.71441303619317
"TSNAX",1.13389294102507,1.09634408354759,1.76256666942076,1.00327781268529
"C1orf109",0.285011158236917,0.832592216821817,1.14523620226166,0.895559979602695
"RRAGC",0.204102431828121,0.107103428015342,0.521187615665523,0.273054897785187
"TBCE",0.976404620791381,0.695325227884146,0.750906139612198,0.747994895492281
"NID1",0,0.00785650656773494,0.222260041670366,0.452754835997309
"LGALS8",0.553449505623781,0.701058984949039,0.358431512659246,1.01820916363171
"HPCAL4",1.0284034533883,1.02547731995583,0,0.259478466851371
"MTR",0.497780615428709,0,1.03769725019282,0.599188664129802
"BMP8B",0.114376160052587,0.0512514079992588,0.0194012725895101,0.0580854160445077
"MYCL",0.223289752343916,0.103104676764745,0.268565639853477,0.190866231918335
"SIPA1L2",0.342660928672215,0.124412185870684,0.183086265217174,0.378078149897712
"RLF",1.24593539873384,0.810036501059165,1.40338520570235,1.30495044589043
"KMO",0.010681391886945,0,0,0
"ZNF684",0.213285495931247,0.523281498597218,0,0.238383579467024
"RIMS3",0.359254537607139,0.965087413787842,0.4477567022497,0.0528768301010132
"AKT3",0.742125642468344,0.259346581422366,1.03682726215233,0.207947594778878
"ETV3",0.133715890207381,0.429033370545277,0.577564391222867,0.229828702551978
"ACADM",0.844373728869096,1.13337269883889,2.29645917632363,1.10028264884438
"ST6GALNAC5",0.159283650652418,0.170510828495026,1.25557892972773,1.43915665575436
"ADGRL2",0.272998802223296,0.0576856961617103,0.997412945736538,1.55388538752283
"PADI2",0.125179793193655,0,0,0
"SDHB",1.29377649190291,0.733445356671627,1.65921128608964,1.04950601713998
"MFAP2",0.154114241869944,1.17964298908527,1.32680000229315,2.05408450535365
"RPF1",0.772514544286818,0.647331575934704,0.537707702680068,1.10801063265119
"KDM5B",2.9300021338013,3.53535189995399,2.07241528684443,1.95522288233042
"UAP1",0.699351016080604,0.46385750403771,0.298639470880682,1.32666780267443
"CTBS",0.044239970872987,0,0.0166548625989394,0.552115917205811
"RGS4",0,0.0407891365197989,0.266660646958785,0
"KLHL12",1.3313238052827,1.19489214970515,1.37477260286158,1.50454894133977
"IGSF21",0.155867418590582,0.12387831394489,0,0
"SSX2IP",0.311233701570979,0.136751266626211,0.389932720498605,0.897171207836696
"ZNHIT6",0.568708366380548,0.62020862274445,0.746958125721325,0.955302715301514
"PLA2G2D",0.0301599733109744,0.0147989862240278,0.0194012725895101,0.0277113605822836
"RBBP5",1.20594994470758,1.44569138150949,0.862699386748401,1.22762174691473
"GBP1",0.00631059453172504,0,0,0
"PINK1-AS",0.100733301830742,0.248988963090456,0.51569816199216,0.0835591959101813
