"","CD16..natural.killer.cell","CD16..natural.killer.cell.1","conventional.dendritic.cell","granulocyte","monocyte","plasma.cell","plasmacytoid.dendritic.cell","T.cell"
"CROCCP3",0.0138145663521507,0.0197356572315852,0,0.0219847744161432,0.012398224419065,0.0137991881370544,0.0270864317979527,0.0263117242028185
"NDC80",0.0287602489644831,0.0711286010153586,0,0.0363549015738747,0.00711705540836272,0.0657559555768967,0.0140132801081255,0.0424733067908832
"AP4E1",0.0721692009405656,0.0890092411784019,0,0.0166460622440685,0.126681930780964,0.138856222629547,0.1637871324818,0.0506418863163162
"RSBN1",0.598484338413585,0.493172628050951,0.144509223791269,0.905265874212438,0.27659966276306,0.588387711644173,0.466846388439799,0.54826683456044
"MAGI3",0,0.00983417042908119,0.305335760116577,0.0186640956185081,0.00708426898150875,0.0215701484680176,0.0430488657713728,0.0174863506530934
"CXCL2",0,0,0,0.0392889803106135,0.0372145748470333,0.0124838888645172,0,0.000932321819838254
"COL4A4",0.0426811749284918,0.00973923131002388,0.256698507529039,0,0,0.0438056272268295,0,0.00419553710979377
"TCF7",1.44370491721413,0.518951721177392,0,0.471539550477808,0.288910093274305,0.657477044463158,0.6221442068138,1.77056226392159
"OSTM1",0.443573400107297,0.390975170324691,0.155242736522968,0.250464488159526,0.469341587439491,0.440990956425667,0.472522604109045,0.253483907311668
"CDH7",0,0,0,0.0174981745806607,0,0,0,0
"IMPG2",0,0.00491070764893385,0,0.0317712599580938,0.00768286667401166,0.0213084721565247,0,0.00261222846105439
"PCNP",1.36536168727008,1.21204255715089,1.92890072785891,1.91969650008462,1.03293099301044,1.12695771157742,1.73625143778285,1.29918376822253
"EXD2",0.0817698749628934,0.0208483770610128,0,0.232945842092687,0.0156961062668095,0.0593167227506638,0.0943015782143983,0.0294986391418779
"ARG2",0,0.00182047650535522,0,0.0600005149841309,0.00273575528315214,0.019071192741394,0.006546911607153,0.00358290836230086
"MEF2C",0.209913965788755,0.101911711745364,1.39784966982328,1.22289957458323,1.71440819576556,2.31895169377327,2.37513409342085,0.0186854435084408
"PTPRC",2.77362099560824,3.38178745339146,3.05882855562063,1.66192496906627,3.24567741501359,1.74891868054867,3.18255632897944,2.7598804114751
"UBA5",0.301447309147228,0.228402237958719,0.28444230556488,0.428867050734433,0.120539205810034,0.465281226038933,0.313373278145774,0.174341457196266
"STK17B",1.56404796947132,1.36684786704075,2.42410693718837,0.733089874007485,2.4712678127665,1.76642092645168,2.74445716487213,1.69449343012193
"CDC14B",0,0.0258037460629858,0,0.0592275749553334,0.00652426799322779,0.0266747653484344,0,0.0506366419513222
"ZNF510",0,0.0285718074885473,0.122793848697956,0.0362839362838052,0.0148717519025515,0.0121920371055603,0.00631621232460504,0.028828625697613
"LRP2",0,0,0,0.0193858970295299,0,0,0,0
"ZNF506",0.177276938611811,0.157841514787807,0.143134979101328,0.35099366794933,0.130153172807185,0.282690160870552,0.168598941394261,0.188615840965314
"JMJD4",0.11311385198073,0.13775428317208,0,0.356156015396118,0.052123184823658,0.159154303669929,0.118353639726227,0.120160210671563
"DUSP12",0.577332603931427,0.356608713137412,0.677686838003305,0.378490623560819,0.220664195837388,0.204510233402252,0.454888152125666,0.289346261157408
"AACS",0.225374333425002,0.0526064645709753,0.292041549315819,0.186024151065133,0.0240327399180826,0.264038218259811,0.0700039883388633,0.0489462438766863
"KIAA0141",0.316430605541576,0.256398996301296,1.19554641613593,0.613345201448961,0.32514006825998,0.436426875591278,0.800752841356981,0.176033001078289
"PCDHGA2",0,0,0,0,0.0036259200899341,0,0,0
"HSPB11",0.680160843242298,0.844358763389952,1.93298334341783,1.31483574347063,0.576342874364344,0.894294309616089,1.07550783767257,0.515205609717501
