"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"RPS29P3",0.104031260844378,0.0767598829077716,0.0948122821061921,0.075254497200511,0.0409979243027536,0.0848440739932476
"PROSER2-AS1",0.00118643096523698,0,0,0,0,0
"AL122001.1",0,0.00259561095405464,0,0,0.0430856403551604,0
"MIAT",0.436608569584768,0.788754635170676,1.09193415121656,1.07734040231294,0.692709589004517,0.961446571670123
"LSM3P3",0.00124925299840207,0.00245795217990077,0,0,0.0461745262145996,0
"TRAM2-AS1",0.00516916547708901,0.00664303690145163,0.00817305295618817,0.00545204572916103,0,0
"AL080250.1",0.0102767232566907,0.00521525096653694,0.00527707230898087,0.00114162968885256,0,0
"DEFB131B",0,0,0,0.00113508700606118,0,0
"AL121917.1",0.00224858994322838,0.00161095570080244,0.00109531913518826,0.00227827126450408,0,0
"AC069281.1",0.00150908596637089,0,0.00106814544304764,0,0,0
"DNAJC19P5",0.00519628315577889,0.00442457848058474,0.00104325381394118,0.00201645620115624,0,0
"RPL7P45",0.00108737664215503,0.00119595421818233,0.00240974478599515,0,0,0
"FAM229A",0.00905246970272401,0.0136963439546837,0.0157031518976118,0.0261117756169185,0,0
"ERCC6",0.0612609735114732,0.064233241069257,0.0280257486845117,0.0369271696170578,0.0375091276670757,0
"AL035090.1",0,0.00158056901327929,0.00122263108847504,0.00116165289860168,0,0
"GS1-594A7.3",0,0,0,0.00117291898460193,0,0
"AC112719.1",0,0.0011665481618501,0,0,0,0
"AL451139.1",0.0015902374948568,0,0.00239230447089827,0.00218652120086219,0,0
