"","Undefined.Type.3","Oligodendrocyte.progenitor.cells","Endothelial.cells","Astrocyte.Type.3","Undefined.Type.1","Immature.neurons","Undefined.Type.2","Astrocyte.Type.2","Microglia","Oligodendrocyte","Astrocyte.Type.1","Oligodendrocytes"
"Cntn2",0.085235528,0.069271718,0.019388735,0.014115345,0.054209013,0.02076339,0.048831313,0.018209481,0.085614094,0.243155462,0.095281239,0.554932389
"Col11a2",0.015098371,0.10809278,0.020670049,0.06255061,0.010375491,0.006454207,0.020591634,0.411008788,0.019682991,0.037811656,0.13010712,0.081800349
"Col1a2",0.000859621,0.013418439,0.058012607,0.046798848,0.000327946,0.003635518,0.144952119,0.045118514,0.001578824,0.005091365,0.038862517,0
"Col9a3",0.007991918,0.07763185,0.02191202,0.10337666,0.008876547,0.006925882,0.053651711,0.183403323,0.015806453,0.027382088,0.058486903,0.071063631
"Cp",0.001634882,0.059096466,0.241023567,0.136950625,0.000686378,0.000656892,0.115083173,0.022828856,0.006875296,0.002490555,0.016370132,0.028992718
"Cpe",0.332345466,0.356514271,0.381694168,1.013598677,0.391166211,0.202325785,0.345952485,1.304568518,0.37382579,0.36766169,0.618204689,0.147725736
"Crlf3",0.029067272,0.085455368,0.07855318,0.2586628,0.047482174,0.050263921,0.029161115,0.219496176,0.099530101,0.058900005,0.140249584,0.133932779
"Cryab",0.015312846,0.052723487,0.062732047,0.100907156,0.007468842,0.010740937,0.038283626,0.0701132,0.019442,0.10551081,0.047609778,0.394344107
"Csf1",0.015111298,0.024918465,0.065970911,0.084905833,0.021492467,0.046173544,0.021716019,0.131283787,0.025079998,0.054542939,0.052330695,0.173015822
"Cspg5",0.123308426,0.313517397,0.051281886,0.065251171,0.050135208,0.034489236,0.115822577,0.488149174,0.078161993,0.087421543,0.268953774,0.038044283
"Cst3",0.196231821,0.38390062,0.956539497,0.967679194,0.209140452,0.236672564,0.480760784,2.0674254,0.39142205,0.244117941,0.972776839,0.388436498
"Cuedc1",0.050581086,0.104588685,0.102219114,0.225741888,0.051823832,0.058934833,0.056921058,0.213848443,0.073477486,0.101146996,0.103367151,0.133599467
"Cxcl12",0.014099227,0.02121517,1.104975568,0.009087514,0.023950293,0.060254135,0.154703759,0.065202553,0.015944121,0.022793464,0.049369342,0.023485681
"Cxcl14",0.025476831,0.056222696,0.038738913,0.108193458,0.014558989,0.011138684,0.025842468,0.568383457,0.022111024,0.023095472,0.161332706,0.010138479
"Cyp2j6",0.00841941,0.067013095,0.02366732,0,0.007336166,0.001866004,0.015069276,0.244500682,0.012188926,0.016241568,0.072944325,0.024876802
"Cyp2j9",0.001677885,0.048440104,0.013389271,0,0.001392818,0.007000155,0.006702103,0.168401021,0.003365532,0.010247843,0.056106906,0.004276369
"Daam1",0.102055465,0.155970462,0.135542969,0.121499905,0.090108887,0.098043854,0.090789331,0.209618189,0.128924785,0.2574377,0.185572612,0.61903843
"Daam2",0.00429239,0.007404213,0.061654284,0.006453709,0.008438023,0.00317945,0.023600623,0.49992952,0.008152715,0.083935572,0.170454973,0.258835344
"Dbi",0.032861761,0.105057284,0.285883568,1.63420231,0.053716788,0.057759381,0.08341037,0.422345451,0.049576467,0.105581781,0.170566873,0.248179837
"Ddhd1",0.0870127,0.107294344,0.043698426,0.092035287,0.089487339,0.084240021,0.092833641,0.58200316,0.097408835,0.104158705,0.238738729,0.079684813
"Ddr1",0.029516708,0.047421979,0.018877099,0.677508577,0.023454401,0.033748804,0.021035412,0.136076816,0.014964552,0.084225305,0.055390518,0.176032201
"Dio2",0.004309835,0.018269764,0.021451148,0.021581958,0.002248916,0,0.011634628,0.23135178,0.009177016,0.005771493,0.087254588,0.006188863
"Dnajc3",0.05671457,0.10142518,0.27277423,0.231948745,0.077224891,0.065003344,0.090035584,0.215060201,0.09477909,0.060806963,0.095364784,0.104723686
"Dock10",0.008015847,0.079136187,0.032373693,0.038194039,0.046693099,0.375564402,0.028530795,0.031453506,0.099227962,0.181455833,0.053100833,0.429099326
"Dtna",0.104405809,0.161066149,0.064576977,0.189642798,0.172866509,0.297087937,0.09616014,0.677368918,0.132671713,0.165775257,0.351249825,0.143107776
"Ednrb",0.004910154,0.132949762,0.043610839,0.18599379,0.007717012,0.006542814,0.009250341,0.496069526,0.001860933,0.010743915,0.108025295,0.014952229
"Efnb3",0.018206379,0.033942503,0.019322033,0.026061724,0.049887107,0.113569247,0.034692045,0.024354849,0.035455221,0.156496374,0.053865727,0.473522523
"Elovl5",0.019358366,0.031880966,0.133574864,0.047613237,0.021253939,0.032337995,0.033144419,0.258408552,0.02069921,0.049648713,0.085890023,0.109677804
"Enpp2",0.21960795,0.218871792,0.136474735,0.178602505,0.082124394,0.024266788,0.305646053,0.107746476,0.09419014,0.384893721,0.262528777,1.143040626
"Epas1",0.008080879,0.025565415,0.878024775,0.055590351,0.005125338,0.008480222,0.088714521,0.063986613,0.019063091,0.007951887,0.031953072,0.029729634
"Etnppl",0.002246795,0.001560796,0.018527153,0.099199923,0.002421489,0.002569801,0.005323107,0.293820116,0.00304886,0.000336453,0.115311115,0
"F3",0.011670139,0.09488895,0.044891223,0.206150544,0.012887596,0.014734967,0.053043408,0.729582791,0.011318393,0.006570451,0.275287286,0.023240308
"Fgfr1",0.021269269,0.052273512,0.048636382,0.45648279,0.100108702,0.078319792,0.047125802,0.335651192,0.037716414,0.049107437,0.134485671,0.01185865
"Fgfr2",0.004004641,0.008443485,0.010246125,0.115956181,0.005397041,0.011259342,0.023135399,0.103246428,0.005670375,0.054764945,0.042059677,0.254145774
"Fgfr3",0.005884903,0.018755652,0.034515255,0.30935941,0.005114368,0.003577092,0.033552752,0.651041758,0.011885399,0.004578555,0.221747861,0.006811496
"Flt1",0.014238847,0.024911961,1.477214743,0.013199642,0.00857634,0.008694034,0.207165068,0.042731782,0.027345844,0.011963257,0.030172254,0.043787388
"Fnbp1",0.146045323,0.125233854,0.085484477,0.321468504,0.180138224,0.137409678,0.118368578,0.406584806,0.176407568,0.445427239,0.292975306,1.123797081
"Frmd4b",0.006852371,0.023922828,0.139966328,0.029580285,0.021208647,0.110273215,0.029090866,0.028489023,0.072543153,0.101519471,0.037875243,0.308706804
"Fxyd1",0.029229802,0.005366286,0.04905912,0.290625567,0.027476807,0.011719116,0.060106056,0.489563793,0.031130422,0.035334188,0.125882064,0.011798094
"Fzd2",0.002432563,0.002503508,0.009333059,0.101195932,0.00076384,0.00100279,0.043014607,0.119240789,0.0011771,0.003106165,0.057810827,0.006359957
"Gad2",0.10767495,0.139229266,0.01738872,0.049309673,0.027352966,0.019228558,0.061650673,0.023400427,0.088098466,0.121189052,0.082946757,0.044531791
"Gatm",0.039374153,0.180023049,0.662010462,0.105910742,0.042481901,0.035640251,0.108269781,0.118599164,0.051359843,0.341160534,0.127375849,1.085734979
"Gfap",0.004363936,0.0127893,0.049470137,0.203694959,0.009036911,0.015079881,0.03117571,0.490499692,0.021464,0.022655644,0.116322031,0.031353931
"Gja1",0.017775511,0.023300754,0.212979527,0.636032809,0.016584461,0.018242341,0.09901597,1.463916369,0.024558117,0.025451411,0.454841686,0.053790688
"Gjc3",0.00408602,0.194368342,0.004972925,0.051368828,0.006499705,0.003806222,0.028545008,0.02938741,0.005432374,0.177168503,0.050350352,0.748992968
"Glud1",0.065721973,0.07735092,0.231960445,0.204973745,0.060878889,0.054417401,0.101970269,0.426816003,0.103505453,0.079562404,0.175958331,0.112750646
"Glul",0.074616643,0.074057078,0.765206062,0.150727552,0.05908435,0.048473253,0.26962066,1.165927373,0.125100094,0.223994357,0.504549591,0.709378104
"Gm21984",0.000929734,0.001583563,0.00101673,0.026058486,0.003044457,0.002842942,0.006023209,0.002067303,0.00323222,0.072076834,0.033667807,0.362308839
"Gm3764",0.301801941,0.493394231,0.090563555,0.301545519,0.248004417,0.191885487,0.239814414,1.317264696,0.188943733,0.227444004,0.711808499,0.066885096
