"","conventional.dendritic.cell.type.1.induced.day.9.dendritic.cell","conventional.dendritic.cell.type.2","human.embryonic.fibroblast","human.embryonic.fibroblast.induced.day.type.3.dendritic.cell","induced.day.9.dendritic.cell"
"CHD7",0.170062928451899,0.14602242410183,0.128469289717127,0.091115737653928,0.0537816301981608
"ESCO2",0.0472488966191633,0.224850046007257,0.439556452876232,0.0134349519154345,0.0182458731333415
"KRT19",2.00973307478185,1.58951660363298,2.88959467371956,2.64779951383805,1.81262739944458
"KRT15",0.0255123540510273,0,0.053605408355838,0.044284125414708,0.00320005512237549
"LURAP1",0.0306438994982689,0.0891457364747399,0.22136332988739,0.23643635119437,0.116965828577677
"CLCN5",0.170426798884192,0.133873821873414,0.0655158492385364,0.0491558493141486,0.0856763655344645
"TPPP",0,0,0.00441595374560747,0.0010579822974093,0
"KCND3",0.0192906874230266,0,0.00564632611196549,0.00313098778388704,0.00832456429799398
"APLN",0.129369378311072,0.199320615906464,0.092504849785664,0.029953188890285,0.100718614578247
"KRT13",0.0172804726740425,0,0,0.00176277030973116,0
"KRT9",0.165824837498851,0.0380817165500239,0.0088789306703161,0,0.0308706642786662
"PDE7B",0.148985306163887,0.135726531869487,0.107658827500265,0.217015293384217,0.153404333750407
"MRPL36",1.81080066184608,2.26507296060261,2.50525607046534,2.2211330982457,1.65435403696696
"ZNF581",0.766123808270704,0.642525334107248,0.933924488747706,1.34437698427915,0.880981848716736
"NAT1",0.246851755316492,0.209534671745802,0.0820536978909227,0.0990101960297715,0.111584596633911
"KRT20",0,0,0.00285147350342547,0,0
"KSR2",0,0.0177839445440393,0,0.00133368671308784,0
"ZNF524",0.634091039093173,0.529206570826079,0.514229622825247,0.663076096839457,0.537553481896718
"MCC",0.179538888590676,0.210080391482303,0.0595925227540438,0.217630559345995,0.229301287015279
"KRT27",0.00268820243332957,0,0,0,0
"ZBTB26",0.0649608016456434,0.0448220497683475,0.0834134029560402,0.0766245072203307,0.0479109036127726
"CDK5R2",0,0,0,0,0.00618102137247721
"DSEL",0.614003856239602,1.04286338467347,1.59625521722387,1.9163301774981,1.3574955628713
"POLR1C",0.276308073515352,0.454836933236373,0.747206858337903,0.606946856851778,0.389969723065694
"ASXL1",0.628601094787329,1.05241647049,0.941763514378032,0.794749348508413,0.631714633623759
"DLK2",0.0370561892999568,0.0261091480129644,0.0407906043724936,0.0647096853468415,0.0096778203646342
"ZNF562",0.433487653179381,0.353272381581758,0.406882310695336,0.313786708896033,0.259211846987406
"ZNF318",0.0907237366090679,0.170740180893948,0.262498229644338,0.205183144110832,0.122366405487061
"ZNF561",0.290239576063705,0.388091400265694,0.437404366790271,0.535214726650818,0.420360660711924
"WIPF2",0.383046207489905,0.495803469890042,0.783177996658888,0.655829812820232,0.459578219731649
"HOPX",0.904209055352078,0.863409833688485,0.286704962370826,0.201039191892622,0.334032590548197
"LRRC8C",0.257264315750249,0.0760903264346876,0.149923093201684,0.0562647888333305,0.115901472409566
"RSL1D1",1.46514659301691,1.88737283960769,2.73639606530549,2.5182885565186,1.87713919099172
"LRRC8D",0.168307168917222,0.201731335959936,0.244282991768884,0.222510591572973,0.110929438591003
"PPID",0.594933846554199,0.579564423153275,1.29782350395547,0.997743622997341,0.691112627983093
"COL24A1",0.0108076896870955,0.0250021532962197,0.0407208481773001,0.0320324352556754,0.0262224553426107
"ETFDH",0.141648800563281,0.0599222324396435,0.387917295440299,0.34975146318985,0.266821842034658
"RXFP1",0.025985827030189,0,0.00329377963894703,0.00132341393728928,0.0265293957392375
"LPAR3",0.00753029534016116,0,0.00854578878058762,0,0.00432021967569987
"PTGER4",0.345877445916298,0.0927294069214871,0.0591806978475852,0.0442066453443322,0.284052222887675
"TBCA",2.86932415090819,3.39435077968397,3.51868168916859,3.4532240128193,3.35660869820913
"NEUROD2",0.00727533099823847,0,0,0,0.00797810141245524
"MAP6",0.00928744601849501,0.0163731920091729,0.0285796994068583,0.0593649898972293,0.0350735410054525
"OTP",0.00279522406590449,0,0,0.00138520929221022,0
"ECEL1",0,0,0,0,0.00336790116628011
"BCL2L1",0.693044255969697,1.22234057203719,0.794159694186977,0.702016338208697,0.670284068107605
"FGG",0,0,0,0,0.00414048194885254
"OR2AT4",0.00393986126929798,0,0,0,0.00375851599375407
"PLRG1",0.698689891920461,0.506180407185304,1.2391523126696,1.03957599887742,0.810910979747772
