"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell"
"IL17RC",0.017814794887397,0.0252530562301916,0.00980569257582861,0.0134104408804539
"CRELD1",0.113229841671311,0.146684157406512,0.166690836203983,0.147677128803826
"PRRT3",0.11149535458221,0.122903927128577,0.114645952604178,0.104440742797094
"FANCD2OS",0.00183516465218483,0,0.000555277931090703,0.0011978904997952
"PCOLCE2",0.000268393383524564,0,0,0
"U2SURP",0.693038816870098,0.668100766009135,0.497877404700392,0.526404540108196
"MTMR14",0.3789919933138,0.436526342305919,0.251160165809255,0.302644917964025
"TTC14",0.542754722190858,0.597709467062027,0.746632224967779,0.74706757446426
"CXCL3",0.000504997832081649,0,0.00276947396689802,0.00132454629616229
"CXCL5",0.000512144675077123,0,0.000558683450524627,0.00093964867666506
"MTHFD2L",0.129315221956677,0.164062836160378,0.0680920127071912,0.077925222254109
"CXCL1",0.000407806629188577,0.00106918164649201,0.00587872728027385,0.00126316375339154
"RCHY1",0.349700105711944,0.385268167090836,0.263131278898061,0.318707994032835
"PLSCR2",0.0046892629555283,0,0.00461336137332453,0.00227169072914779
"CCDC158",0,0,0.000557197351550306,0
"CPA3",0,0,0.000724571109266669,0
"GYG1",0.214229621805362,0.30907539815235,0.187134490615083,0.424604945439517
"HPS3",0.0836965067227731,0.0781571457154829,0.093740420352911,0.146526289605239
"TOPBP1",0.114467344310602,0.116424458341981,0.0777060083440832,0.095289323065016
"RYK",0.0977068329513654,0.106090781037971,0.0996755725343138,0.101028522583946
"SNRK",0.206008177332998,0.240076672490819,0.336322142822548,0.357910593669348
"TCF23",0.000459356914076091,0.000647022053794618,0.000556909993132866,0.00136751735333315
"DNAJC5G",0.000998818120429961,0.00120995554393795,0,0
"UCN",0.0139067464621741,0.0160483812759182,0.0255312747511601,0.0303585329052145
"ZNF513",0.0721441185490986,0.0831586682185034,0.0245919430292595,0.0340655432169835
"SLC4A1AP",0.171012918824148,0.187098465131847,0.119691467799025,0.137633065678501
"PLB1",0.00156668114739591,0.00353164710341567,0.00370576444489475,0.00128783311221198
"SPDYA",0.00465756906356328,0.00305584199149169,0.00335044045991535,0.00380572183936004
"KIAA1143",0.459791455347018,0.464355048594159,0.307049148016664,0.288752708238425
"KIF15",0.000484275471321744,0.0031505712896909,0.00105307602205384,0
"TGM4",0.00456359640088722,0.00119330569716796,0.00157318533669993,0.00275944115870688
"WDR43",0.668304014043718,0.632013959725757,0.262928574655385,0.322549790997412
"ZDHHC3",0.322898480924256,0.382113572855828,0.165776793164747,0.24642298202471
"CDCP1",0,0.0011902351765006,0.00172121497078216,0
"CLEC3B",0.000423998889477743,0,0,0
"SLC6A20",0.00210917731497891,0.00122478962480152,0.000541934688083937,0.00215219249703494
"LZTFL1",0.0505337072189282,0.076304627732363,0.0527485445921771,0.0726530918778241
"FYCO1",0.0683345202594484,0.153527237377288,0.05416503260081,0.101464190251866
"CCR1",0.0128914043894871,0.10604107223705,0.00644551068187535,0.0642546769907202
"LRRC2",0.00118302779126171,0,0.00171717099037392,0.00132339753554768
"ELP6",0.294224907906914,0.3356628331831,0.210984777596729,0.245208677602843
"FBXO40",0.00084391454281091,0.00202493853267325,0.00106121324897424,0.00132477652166308
"DTX3L",0.286696438481897,0.417377915823339,0.410301329255145,0.481735353116636
"ZNF148",0.425785714108627,0.419477393545938,0.431389605432106,0.388387907184049
"NMNAT3",0.0264429722574038,0.0244552171083034,0.0226726992016902,0.017172019415204
"SMIM12",0.802661238082395,0.953927794095507,0.346852359321482,0.461316621590316
"ZMYM6",0.0642468719702149,0.0690098891138629,0.0607354795121184,0.0614731127909005
"TPRA1",0.235785300440041,0.247425919835909,0.140536190261997,0.150992862319801
"YEATS2",0.137360379613679,0.152945706613141,0.105156826720106,0.101776709989902
"GRIK3",0,0,0.000611142715769927,0
"ZC3H12A",0.480008593662935,0.545914489425822,0.211748080591286,0.273082057452921
"MEAF6",1.44361354861577,1.41090290214363,0.970654152902152,1.04432065912948
"SNIP1",0.102369994934327,0.141761699092384,0.0586808465173952,0.101167481106718
"DNALI1",0,0,0.000458910291504052,0
"POLR2H",1.13141269464111,1.15874799232454,0.448672232259189,0.508589602190377
"KLF15",0,0,0.000572633465960382,0.00116554331624722
"CAMK2N2",0.000346364867324086,0.00085272417671892,0.000482036363495322,0
"TMEM41A",0.185162729027652,0.195036025540028,0.143295775567511,0.157507775620952
"RPN1",0.663583430234479,0.823571408968747,0.360407946414014,0.515702705203053
"SENP2",0.162275161609706,0.18656206854003,0.145498475757642,0.163580075890657
"HEYL",0.00104690493950432,0,0,0
"IFT122",0.027792323496494,0.0253922131480192,0.0310310575189633,0.0271117923003929
"RFC4",0.20202059629289,0.17517514694768,0.12636789580628,0.163356568440994
"RPL39L",0.0867332266345539,0.113165086460935,0.0708520188545308,0.141110796744517
"BAP1",0.258938112748504,0.291866245541132,0.132990865359925,0.162580563167253
"TKT",1.22766318392381,0.974560989953301,0.909820967082736,0.703087993640397
"PRKCD",0.18132426183154,0.154189936501486,0.0621647343748121,0.0675500356864274
"RFT1",0.126900376723505,0.12901009485901,0.0664524166623982,0.0681529154801196
"SFMBT1",0.204910113598771,0.217319588900416,0.150590695871542,0.140075586915426
"GNL3",1.17210925462277,1.02795422269092,0.560520314085455,0.526352293211888
"PBRM1",0.39261392933592,0.485565376612007,0.27559700531785,0.328476270130911
"UVSSA",0.0457073872768107,0.0683546072086204,0.0693594777661564,0.10534765120452
"FAM208A",0.157983451017147,0.170906872795745,0.164894722644246,0.183274115347234
"ARHGEF3",0.251030858451144,0.348106252616017,0.583271934771595,0.737049226544203
"SLBP",0.897219499794025,0.90149898017582,0.501052077282303,0.569525606443792
"LRPAP1",0.805536991037982,0.906551285032831,0.551035583936879,0.598314604808375
"ZDHHC19",0.00262729963453324,0,0.000545786049445117,0.00108404194138896
"SLC51A",0.0687432592354216,0.075352374688823,0.0633487131266899,0.0921705612111246
"UBXN7",0.113901383046925,0.157058652310459,0.111876271907247,0.142734939244559
"RNF168",0.344780741730373,0.355905673067385,0.376957526812193,0.443642617637486
"PIGX",0.473504756819396,0.450191400641138,0.21912303245765,0.22440921764148
