"","activated.CD4..T.cell","activated.CD8..T.cell","resting.CD4..T.cell","resting.CD8..T.cell","unassigned.activated.T.cell","unassigned.resting.T.cell"
"GCNT4",0.0756623187349661,0.0551225970050062,0.271811411768449,0.0441568946246035,0.153909603754679,0.200812751596624
"TOB2P1",0,0,0,0.0045203987856089,0,0
"MUC20",0.0143956357973501,0,0.0189243313692606,0,0,0.0773655121976679
"THAP4",0.185423277166303,0.149283952538872,0.180599926106424,0.175186288726996,0.145548878571926,0.286671730605039
"NFATC2IP",0.341908556249173,0.34738327225092,0.3623215433872,0.291969559947896,0.386579715288602,0.334828149188649
"LY6H",0.00250858070853237,0,0,0,0,0
"FAM89B",0.314115346313525,0.299070095529362,0.360356782250664,0.338989212498161,0.301493045611259,0.360521121458574
"SHMT1",0.0720256115848845,0.0687980797826027,0.0905478851003989,0.0871664002815389,0,0.0744447274641557
"DPP7",1.05289917542164,0.909035198670581,0.863743551758786,0.92095047968515,0.546004769129631,0.948343515396118
"TRIM60",0.0123051331909265,0.0124988888823512,0.0128603678759506,0.0085791125801039,0.0462659108333099,0
"SEC24C",0.118251681375561,0.15103812069181,0.0854292503225101,0.176354352583796,0.147310770474947,0
"SMCR8",0.0486691419153057,0.0648731952323053,0.0510100412009615,0.0720664264252467,0,0
"MTHFR",0.143515854966512,0.152703102113865,0.10781523914109,0.116280794439849,0.341241478919983,0.162830173969269
"C19orf18",0.00132164260030127,0,0.00737238004242471,0,0,0
"DEAF1",0.286339739918661,0.226375808521193,0.291735667700677,0.169946561837048,0.144495080678891,0.335001132704995
"MTX3",0.0446498053141675,0.0293725714903769,0.0471757081529975,0.063616949282818,0.0435737799375485,0
"TMEM80",0.0985248819751457,0.0935790989503953,0.150243819789861,0.198650279252425,0.151763931298867,0
"SIX5",0.00244500095671446,0,0,0,0,0
"FBXO46",0.0674605807830297,0.0757946566019355,0.0504720549061597,0.0439051485950162,0.0470429169826019,0
"ZDHHC13",0.085728635871988,0.118556395253101,0.0745335281238547,0.0777472416066235,0.0483790666629107,0.17344897443598
"SLC38A9",0.0494628075747477,0.0467903183815175,0.0697005872553199,0.116168055919387,0.0950350975378966,0.0773655121976679
"ACER2",0,0,0,0.00518988733706267,0,0
"WDR73",0.226391065010893,0.161861688826957,0.27555742092665,0.172428760765502,0.0978221740478124,0.438259655779058
"POLE",0.0402420203973161,0.0396682506729273,0.0246985586121593,0.0225924240135998,0.100919778530414,0
"FAM109B",0.00808908388430374,0.0135920449819268,0.0110375829433835,0.00498125360619207,0,0
"SCN4B",0.000951011896037941,0,0,0,0,0
"DSCAML1",0.00107481205611407,0,0,0,0,0
"RHOG",1.12794635140232,1.0735694593825,1.05222544038407,1.01867082489203,0.714401893126659,0.771889285607771
"EPS8L2",0.309915164111851,0.312034776720401,0.169251271460402,0.116290267209829,0.145189239428594,0.186101918870753
"MRVI1-AS1",0,0,0.0014146666216227,0,0,0
"ANO6",0.0360071340178221,0.0616627804830942,0.0428528045203023,0.0695707534410939,0,0
"ZBTB34",0.0112894508043288,0.040251795382556,0.0189835365018223,0.0175792078053729,0,0
"FAM9B",0,0.00437371738487104,0.00161436536854012,0,0,0
"NUDT4P1",0.0144473097063705,0.0296053809586964,0.0126572860570729,0.00500190154365871,0,0.0797000852498141
"FAM210A",0.324820542411896,0.278667913727806,0.151482067649006,0.163940475001839,0.0991506148607303,0.0854162086140026
"TALDO1",1.00702047672661,0.819822354680357,0.719139705150065,0.651787411352122,0.350069000170781,0.493695524605838
"ULK1",0.027070953600589,0.0598232108463406,0.0329105376563455,0.0624404365231532,0,0
"NAP1L4P1",0.0129400776728278,0.0368229021447302,0.0220683107980332,0.0708201831912402,0,0.0948652787642045
"RIMKLA",0.0206872890794759,0.023941213411112,0.0181714724691557,0.0186069458908176,0,0
"CLVS1",0.0015709077447808,0.00284538181972811,0,0,0,0
"RPS6KA3",0.277525776903964,0.46882079316005,0.310743307718726,0.375946732929775,0.198271381549346,0
"B3GNT8",0.0064174781382251,0.0082764377143278,0.0102546541470049,0.0339738422299024,0,0
"PUS1",0.226831260040659,0.175231628079932,0.0832719609544084,0.0918668364886171,0,0.0899926369840449
"PCNPP5",0.00105015545021213,0,0.00567317811799461,0,0,0
"CHD9",0.189721928055305,0.251732573217275,0.266638019626839,0.305526224870859,0.13557714682359,0
"OR2T12",0,0,0.00141110925163164,0,0,0
"GATD1",0.079523422835491,0.079064344617145,0.0973416092018665,0.0727223064588464,0.0487963480827136,0.176858305931091
"TRIM72",0.00334448178481903,0.0055651948992343,0.00146609985780864,0.0127619293165503,0,0
"MAN1B1",0.139456146136732,0.134903738501249,0.207525644568569,0.134452187200511,0.0504457858892587,0.0881462476470254
"KCNA3",0.131884859999419,0.0670358658349091,0.094237740609199,0.0725172993559275,0.155844673132285,0.0959811427376487
"FZD8",0,0.00347937523486407,0,0,0,0
"GJD4",0.00116163461171106,0,0,0,0,0
"FBXO39",0.00149911864070258,0,0.00123204939862929,0,0,0
"KCNA2",0.00139669661623123,0.0028313228062221,0,0.00480361754849831,0,0
"TOP3A",0.0913029429336811,0.0715513890078961,0.054679647292719,0.0348129189532736,0,0.0883686867627231
"CASKIN2",0.000966224089879535,0.00846583323371142,0,0,0,0
"ZBTB38",0.126020103919778,0.297233752866309,0.166789967981017,0.486963833637119,0,0
"BEND2",0.00136079958165986,0,0,0.00491010861367172,0,0
"C8orf31",0.00126289185114178,0.0099990503616415,0.00147336428282691,0,0,0
"DLGAP1-AS1",0.0958053594023216,0.297244782862679,0.1841360493788,0.414264781726813,0,0.304591661149805
"FLJ13224",0.00562388065293831,0.0028228344901932,0.0044134836784231,0,0,0
"RPL13AP3",0.0556980035855954,0.021527050389127,0.0688149574112459,0.0393448320234784,0,0.0861921364610845
"CCDC71",0.103672405410204,0.108953979934709,0.0887227993281901,0.0795468899033825,0,0.181651337580247
"AC024940.1",0.00222105086207819,0.00542601453246415,0,0,0,0
"LRRN4CL",0.00233121084412623,0,0,0.00481448025436875,0,0
"FLJ40194",0.00137656518923172,0.00342282675262681,0.00624278439955739,0.00472223240396251,0,0
"TIMM22",0.237547819882715,0.243347202540724,0.142885773911854,0.213594221624528,0.0909821895452646,0.252213131297718
