"","acinar.cell","not.available","pancreatic.A.cell","pancreatic.D.cell","pancreatic.ductal.cell","type.B.pancreatic.cell"
"GABPB2",0.202541692076989,0.132051050961018,0.289104698292379,0.256819689744397,0.417376720446807,0.317720869257126
"SYT14",0.0206332724049406,0.576499349474907,0.44933677604422,0.690225005149841,0,0.639333367531682
"KCNH1",0,0.231440024375916,0.0185669443703123,0.101265926894389,0,0.107024585759198
"DTL",0,0,0,0,0.0606766517345722,0
"DYRK3",0.0420987594802425,0.526141426563263,0.130026442530964,0.696458578109741,0.179755605184115,0.272396824610086
"EIF2D",0.549073330636294,0.395947158336639,0.228060708780374,0,0.539931187492151,0.212993362435588
"INTS7",0.415264748739746,0.631465440392494,0.187678729317018,0.166766775281806,0.233695239287156,0.105462377270063
"VASH2",0.00166150547985761,0.00650835394859314,0.0360039156595511,0.0764878580444737,0.0239624509444604,0.0366719731210191
"TAF1A",0.0702393785962519,0.0909559655189514,0.0994633893881525,0.356788271351864,0.149852031927842,0.210472739773032
"SMYD2",0.605927960209127,0.411506998538971,0.154866328995143,0.362624833458348,0.635259335774642,0.0995761156082153
"SUSD4",0.138612044869729,0.441025004386902,0.593452333805284,0.692217861351214,0.0687446007361779,1.21643965406182
"DUSP10",0.83703931350753,0.157216898202896,0.312983394533928,0.368971776805426,0.605554403708531,0.354513073041115
"HHIPL2",0,0,0.00198258259998901,0,0,0
"TP53BP2",0.48041534100501,0.267162386775017,0.522257747527744,0.0762308020340769,0.373870473641616,0.195074759515715
"ATP8B2",0.012360636355742,0.00840474784374237,0.15439273044467,0.268633393864883,0.0420396988208477,0.134206994264214
"FLG2",0.0120015754452292,0.0146332448720932,0.0504117859527469,0.0496868459801925,0.0188534867305022,0.0208531704581814
"ADAM15",0.114469693376208,0.101474101543427,0.194973343185016,0.132352668988077,0.292416391005883,0.091552793243785
"JTB",1.46745726803564,1.82963054955006,1.61364149475204,1.34399887135154,1.49387981341435,1.67676594080748
"RAB13",0.59598487165739,0.535349672734737,0.596138101204165,0.471159188370956,1.17895899415016,0.206353471418958
"S100A8",0,0,0,0,0,0.00679909005577182
"TPM3",2.737821826395,3.15163287639618,2.78730832339664,1.42894121533946,2.2633023748031,2.41428141130341
"NUP210L",0.0267067374485844,0.00483770400285721,0.0159208340171192,0.10494450283678,0.00261798225916349,0
