"","Keratinocytes","Clara.cells","Epithelial","Airway.Multiciliated.Cells","Brush.cells","Undefined"
"Hemk1",0.06782155,0.073290141,0.135117139,0.110185615,0.05843318,0.078253968
"Cacna2d2",0.019814767,0.001447887,0.001159063,0.002111369,0.163133641,0.028968254
"Tmem115",0.267033655,0.168416901,0.210382244,0.284988399,0.344516129,0.357460317
"Cyb561d2",0.38145317,0.251352113,0.280998767,0.221160093,0.501105991,0.348888889
"Nprl2",0.159626924,0.102540845,0.119247842,0.115011601,0.178387097,0.199047619
"Zmynd10",0.016621445,0.003014085,0.014364982,1.319211137,0.02,0
"Rassf1",0.475525698,0.206907042,0.354697904,0.453155452,0.599585253,0.791190476
"Tusc2",0.33755544,0.297487324,0.343193588,0.811484919,0.520322581,0.466031746
"Hyal2",0.342520219,0.113780282,0.134833539,0.12962877,0.153225806,0.213333333
"Hyal1",0.30321941,0.052946479,0.114488286,0.214361949,0.119907834,0.265714286
"Hyal3",0.118494652,0.014833803,0.046892725,0.096310905,0.013041475,0.106984127
"Ifrd2",0.199835638,0.090309859,0.15648582,0.054269142,0.179354839,0.316269841
"Sema3b",0.076378816,0.067577465,0.062355117,0.088167053,0.122626728,0.107301587
"Gnai2",1.103960344,0.985746479,0.713723798,1.20287703,2.386129032,1.531587302
"Sema3f",0.194364727,0.155166197,0.146732429,0.18774942,0.057004608,0.152142857
"Rbm5",0.214969997,0.266016901,0.210332922,0.349837587,0.407511521,0.241666667
"Rbm6",0.165147404,0.214028169,0.172108508,0.245313225,0.234193548,0.249047619
"Mon1a",0.145476128,0.091402817,0.119358816,0.095034803,0.101520737,0.176984127
"Mst1r",0.10576311,0.040298592,0.071146732,0.019930394,0,0.108492063
"Traip",0.006214453,0.002478873,0.00378545,0,0.012718894,0.27515873
"Uba7",0.090973128,0.106709859,0.075967941,0.133665893,0.090092166,0.027777778
"Gm20661",0,0,0,0.2987471,0,0
"Ip6k1",0.173433342,0.168360563,0.133736128,0.341136891,0.264423963,0.110793651
"Gmppb",0.114578659,0.189126761,0.229001233,0.189303944,0.253317972,0.173174603
"Rnf123",0.057610227,0.031278873,0.027903822,0.073085847,0.117557604,0.065238095
"Mst1",0.118105922,0.025859155,0.026189889,0.486009281,0.015253456,0.076984127
"Apeh",0.201601878,0.206461972,0.241911221,0.136867749,0.173686636,0.289365079
"Bsn",0.01290634,0.013335211,0.010221948,0.00361949,0.036543779,0.015634921
"Dag1",0.377560657,0.353267606,0.261639951,0.487053364,0.430368664,0.539920635
"Nicn1",0.129172972,0.075273239,0.05135635,0.112273782,0.140460829,0.11984127
"Tcta",0.311745369,0.300394366,0.271738594,0.278955916,0.363041475,0.250238095
"Rhoa",1.361007044,1.141650704,0.876091245,1.015104408,1.113640553,1.934206349
"Gpx1",3.594776937,2.273357746,3.006892725,2.246473318,2.344147465,2.857301587
"Usp4",0.154633446,0.204450704,0.145893958,0.275893271,0.274009217,0.232063492
"Klhdc8b",0.199979129,0.045605634,0.034697904,0.07587007,0.133917051,0.187619048
"Ccdc71",0.148781633,0.122670423,0.086078915,0.139721578,0.148341014,0.133174603
"Lamb2",0.134184712,0.1908,0.160776819,0.148097448,0.085207373,0.238095238
"Usp19",0.1932455,0.175414085,0.187546239,0.5612529,0.293778802,0.287619048
"Qars",0.413673363,0.348332394,0.316128237,0.487099768,0.386313364,0.716269841
